,cust_name,review_title,review_description,star_rate,reviews_date
0,Mark,Thank you!,This is good price and great product!,5 stars,"August 3, 2021"
1,James,Protecting those you love.,Whatever liquid thats not absorbed in the towels will leak out during shipping. Other than that great product,4 stars,"August 2, 2021"
2,Ro,Always the best,"Love these, very easy to use",3 stars,"August 1, 2021"
3,Maryellen,Very nice deal reasonably priced,Very confident in using these wipes on surfaces. With viruses you can never be to safe in protecting those you love.,2 stars,"August 1, 2021"
4,Miriam,Hands Down The Best Wipe Ever!,They are early in more days. Thank you.,1 star,"July 31, 2021"
5,Susan,I'll need a refund.  It's got to be our hot temps?,Why wouldn't anyone like this item? Especially now.,5 stars,"July 31, 2021"
6,adrienne,The real deal,Such a good deal love being stocked up,4 stars,"July 30, 2021"
7,Ghaziani,Excellent,These are very good for class rooms.,3 stars,"July 30, 2021"
8,Jessica,Highly recommend,I like these Clorox wipes for cleaning the bathroom. And they are requested on daughters school supply list.,2 stars,"July 30, 2021"
9,Alicia,This is a must,Clorox products are always the best choice. No strong scent. No irritants. Highly recommend,1 star,"July 28, 2021"
10,Fiesta,Great for cleaning.,Nothing like Clorox products,,"July 28, 2021"
11,June,Super Clorox,all the liquid was drained out of all three containers and the paper was peeling off the sides of each of them by the time and took the outer plastic off.  They must have tipped inside of the box or got too hot inside the truck or something.  I'm not sure.,,"July 27, 2021"
12,Nene,,The real deal. Its effective,,"July 27, 2021"
13,kathleen,,"Great price, product and service",,"July 26, 2021"
14,Mallazine,,Cleans hard to clean surfaces,,"July 26, 2021"
15,sarahleeanns,,This is a must have in any house hold! They work amazing and keep all those unwanted nasty germs away! They also smell soooo clean!,,"July 25, 2021"
16,Anna,,Great price for the product,,"July 24, 2021"
17,WalmartCustomer,,"Stock up now,  round 2 will be starting soon",,"July 24, 2021"
18,Momm,,Great to be able to get Clorex wipes again.,,"July 24, 2021"
19,gunn,,"Love these, easy disinfecting and clean ups",,"July 24, 2021"
20,,,You will receive an email shortly at: ,,
21,,,"Here at Walmart.com, we are committed to protecting your privacy. Your email address will never be sold or distributed to a third party for any reason. Please take a minute to review our Privacy Policy",,
22,,,"Sorry, but we can't respond to individual comments.If you need immediate assistance, please contact Customer Care.",,
23,,,Your feedback helps us make Walmart shopping better for millions of customers.,,
24,,,Your feedback helps us make Walmart shopping better for millions of customers.,,
25,,,"We’re having technical issues, but we’ll be back in a flash.",,
26,,,"Sorry, this webpage requires JavaScript to function correctly.
",,
27,,,"Please enable JavaScript in your browser and reload the page.
",,
